1,32,24/21 13/11,63,13/4*
2,32,bar/23 24/21*,52,bar/20 6/4*
3,66,Cannot Move,51,20/14*
4,32,bar/23 bar/22,31,6/3* 4/3
5,54,bar/20 13/9,53,24/16*
6,64,bar/21 20/14,65,16/11* 14/8
7,43,bar/21 8/5,63,11/5 8/5
8,53,13/5,53,24/16
9,32,6/4 6/3,22,13/9(2)
1,) 42,13/9* 6/4,65,Cannot Move
1,) 44,13/1 8/4,51,bar/24* 13/8
1,) 53,Cannot Move,,Doubles => 2
1,,)  Takes,33,9/3 9/6 8/5
1,) 61,bar/24 9/3,63,24/15
1,) 61,24/18 8/7,52,15/13 6/1
1,) 66,21/9(2),52,8/1
1,) 52,18/16 7/2,51,13/12 13/8
1,) 63,16/13* 9/3,61,bar/18
1,) 65,13/7* 7/2,54,Cannot Move
2,) 44,9/1 5/1(2),11,Cannot Move
2,) 64,6/2,33,Cannot Move
2,) 43,6/2 4/1,22,Cannot Move
2,) 52,23/21 23/18,31,Cannot Move
2,,)  Doubles => 4,,Takes
2,) 66,21/3 18/12,21,Cannot Move
2,) 53,12/4,22,Cannot Move
2,) 32,4/1 2/off,42,Cannot Move
2,) 53,4/1 4/off,66,bar/7 8/2
2,) 42,3/off 2/off,42,8/4 7/5
3,) 43,3/off(2),51,8/3 1/off
3,) 51,3/off 1/off,32,3/off 2/off
3,) 41,2/off 1/off,42,6/off
3,) 54,2/off 1/off,55,5/off(4)
3,) 51,1/off(2),65,6/1 6/off
3,) 43,1/off,,
3,,)  Wins 4 point,,
